"","OLS MSE","Random Forest MSE","Gradient Boosting MSE"
"1",0.0807479772310762,0.0801095257888526,0.0800614008837404
"2",0.0705013227896262,0.0714611872571311,0.0690055984383559
"3",0.0797468961076992,0.0830724610041674,0.0794930062391312
"4",0.0867513530979168,0.0812938503339625,0.0812925149861141
"5",0.0704228425083689,0.0679326898518209,0.0674430584087702
"6",0.0754048326337504,0.0758299482290862,0.0753841793716
"7",0.0795268954233429,0.0808681561421575,0.0783820884840427
"8",0.0870457536190393,0.0874193734197714,0.0852619313067993
"9",0.0821130960893259,0.0822038023453611,0.0781118029578646
"10",0.0713468623516394,0.0731444441801716,0.0699003567754837
"11",0.0954524075230875,0.0953070382086356,0.094993801685077
"12",0.0723284596633987,0.0736903411430016,0.0730224099097382
"13",0.0802846078100995,0.082093063389165,0.0796491439459479
"14",0.0714134210474213,0.0725175849560032,0.0704248386717993
"15",0.0731248076782898,0.0717605045017349,0.0707037885361157
"16",0.0794234845577853,0.0816474365347407,0.0777907715040804
"17",0.0784527580616813,0.0791691826270611,0.0775660705513747
"18",0.0832778255980637,0.085280680395353,0.082880131307585
"19",0.067829514559171,0.0676449893099113,0.0681384176528899
"20",0.0806232536893798,0.0765757165519617,0.0774235962775387
"21",0.0810315681231353,0.0822794334212206,0.0788501023644226
"22",0.0807712783559552,0.0776348645688591,0.0775138961081743
"23",0.0870520295890704,0.0885464237859017,0.0854458143256204
"24",0.0817428731243112,0.078287810954099,0.0804383997160329
"25",0.0692770480093232,0.0710982113468071,0.069376633134451
"26",0.0818715527026596,0.0825724555302519,0.0794383618339751
"27",0.070373157161016,0.0687188383823938,0.0682517555287801
"28",0.0785877284652951,0.0796144535228529,0.0774248063702539
"29",0.0810581694035935,0.0825415659367015,0.0803055877636253
"30",0.0854703997498498,0.0826436865194736,0.0808121178751515
"31",0.0718377033226172,0.0712601060771145,0.070006329116734
"32",0.0680551092279701,0.0678401015061385,0.0655850779558091
"33",0.0666495071850797,0.0677790666333154,0.0674440793978915
"34",0.0765451238733761,0.0783327799877222,0.0767171371330996
"35",0.0826681707464283,0.083037222031567,0.0811325794001916
"36",0.081721329020746,0.0843355877435898,0.0826632804855474
"37",0.0803980073302149,0.0798326132948554,0.079243177279524
"38",0.0727879578757931,0.0749876493133874,0.073587256805832
"39",0.0776098841039512,0.0795864248420087,0.0782023969848113
"40",0.0852201569935895,0.0851046962210594,0.0817711395293139
"41",0.081085010850494,0.0819619481205673,0.0813674292219952
"42",0.081890384809302,0.0828265553938019,0.0810678481940414
"43",0.0777907012663518,0.0788835105164199,0.077656320268771
"44",0.0759372177953947,0.0750409007721686,0.0738030315160865
"45",0.0727463364772049,0.0744634436074676,0.072903879745913
"46",0.0875257354858604,0.0850060443375466,0.0846350789452391
"47",0.0831000594556561,0.082346858961556,0.0805235282639636
"48",0.0638866384302629,0.0667584807743087,0.0650858151081124
"49",0.0769331125611124,0.0782167653560256,0.0774421238293131
"50",0.0760964103646262,0.0739996854137977,0.0736748822537747
"51",0.0652687163812258,0.064685574354884,0.0628236849043667
"52",0.0775428912195181,0.0767615045803312,0.0740977332119632
"53",0.08383962169071,0.0841943652681709,0.0820899203182426
"54",0.075514096908365,0.0779264423104332,0.07378274693476
"55",0.0742377595082216,0.0752595034169775,0.075218219896238
"56",0.0715366033302445,0.0736544385817524,0.0726440338487582
"57",0.0662056317645643,0.067569230205314,0.0662973907555056
"58",0.0884063008354199,0.0867582825632716,0.0855180172845357
"59",0.0799636030938384,0.0819916129574378,0.0805771980034848
"60",0.0860530429234236,0.086870977837942,0.0853499891417691
"61",0.0936525782862961,0.0940500933722066,0.0918464891397822
"62",0.06886161079152,0.0711776731227274,0.0682489788437287
"63",0.0793446350689772,0.0814826068254601,0.0783807848098116
"64",0.077124181221032,0.076196426126191,0.0734690608905883
"65",0.0817981751072183,0.0825961348575768,0.0826228225295222
"66",0.0748423046674904,0.0712486254775546,0.0710663142581055
"67",0.0707556489849605,0.0677170682511179,0.0680852214348521
"68",0.0822246942120234,0.084855833426808,0.0824191223067818
"69",0.0852623991122448,0.0832134062161644,0.0821842665771302
"70",0.0710990279501551,0.0738797443560822,0.0706278999445878
"71",0.092367272718348,0.0937609894284628,0.0928905062686787
"72",0.0867549784184833,0.0879329978229333,0.0855797098756389
"73",0.0762897106745482,0.0763693816150699,0.0753350277494382
"74",0.0793485015999001,0.0770348668930005,0.0768705388322668
"75",0.0860960412142365,0.0847588608458827,0.0827388078710973
"76",0.076930461863685,0.0744163295146549,0.0739773929071146
"77",0.0809851923836638,0.0789369600269696,0.0779061803211869
"78",0.0814928075903584,0.076892919833463,0.0766694776420182
"79",0.0780463346702271,0.0780176488473445,0.0772256549452313
"80",0.0663265265402601,0.0686390266391263,0.0673912164912344
"81",0.0771056808043958,0.0796725590559053,0.076156884993193
"82",0.0678317772025738,0.0656483491712801,0.0650467075701193
"83",0.081366353047877,0.0858956677185259,0.0843105856084431
"84",0.0797874871977184,0.0825581181050584,0.0795258189100852
"85",0.0793916567879679,0.0836361558176079,0.0796197651056023
"86",0.0854278769752364,0.0862412307948044,0.0852333468731681
"87",0.0673681810766474,0.0662213371891948,0.0636366803229363
"88",0.0943855120119523,0.0965356761637683,0.0969612511184377
"89",0.0899728261591801,0.0896222607778881,0.0888291512526991
"90",0.0824004384971807,0.0795940484683695,0.0784811972499474
"91",0.0821819145703231,0.0862696346605085,0.0822114696041976
"92",0.0673705647236944,0.0661081123110168,0.0648177796969523
"93",0.0767534061586997,0.0758220899624583,0.0748052438693491
"94",0.0780180862507464,0.0758290989854668,0.0753126472504532
"95",0.0698018108641373,0.0714651968413541,0.0689499374730594
"96",0.0850217009041455,0.0857421378329245,0.083308905616253
"97",0.073754885213031,0.0729880542730198,0.0724155335098433
"98",0.0775666248861006,0.074065113478635,0.0728435754283154
"99",0.0823453992675226,0.0804749600621971,0.0805505474769819
"100",0.076106571712312,0.0765202250975883,0.0749133020282428
